PACKET INFORMATION OF spot_6
Report Taken on : 30/Apr/18 10:12:30
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
89       DUMMY60          A8 2C 00 06 1D 42 A6 E4 B0 FF 00 60 00 0A 06 41 00 00 00 00 00 00 BA 08                                           2018     652521727     04/29/2018 00:07:31:984     7490      
90       DUMMY60          BA 08 00 06 1D 43 A6 E4 B0 FF 00 60 00 0B 06 41 00 00 00 00 00 00 4D 3F                                           2018     652521727     04/29/2018 00:07:31:984     7491      
91       DUMMY60          4D 3F 00 06 1D 44 A6 E4 B0 FF 00 60 00 0C 06 41 00 00 00 00 00 00 AD C1                                           2018     652521727     04/29/2018 00:07:31:984     7492      
92       DUMMY60          AD C1 00 06 1D 45 A6 E4 B0 FF 00 60 00 0D 06 41 00 00 00 00 00 00 EE 8E                                           2018     652521727     04/29/2018 00:07:31:984     7493      
93       DUMMY60          EE 8E 00 06 1D 46 A6 E4 B0 FF 00 60 00 0E 06 41 00 00 00 00 00 00 4C 5E                                           2018     652521727     04/29/2018 00:07:31:984     7494      
94       DUMMY60          4C 5E 00 06 1D 47 A6 E4 B0 FF 00 60 00 0F 06 41 00 00 00 00 00 00 1F 40                                           2018     652521727     04/29/2018 00:07:31:984     7495      
95       DUMMY60          1F 40 00 06 1D 48 A6 E4 B0 FF 00 60 00 10 06 41 00 00 00 00 00 00 62 ED                                           2018     652521727     04/29/2018 00:07:31:984     7496      
96       DUMMY60          62 ED 00 06 1D 49 A6 E4 B0 FF 00 60 00 11 06 41 00 00 00 00 00 00 49 CB                                           2018     652521727     04/29/2018 00:07:31:984     7497      
97       DUMMY60          49 CB 00 06 1D 4A A6 E4 B0 FF 00 60 00 12 06 41 00 00 00 00 00 00 06 02                                           2018     652521727     04/29/2018 00:07:31:984     7498      
98       DUMMY60          06 02 00 06 1D 4B A6 E4 B0 FF 00 60 00 13 06 41 00 00 00 00 00 00 50 09                                           2018     652521727     04/29/2018 00:07:31:984     7499      
99       DUMMY60          50 09 00 06 1D 4C A6 E4 B0 FF 00 60 00 14 06 41 00 00 00 00 00 00 26 AC                                           2018     652521727     04/29/2018 00:07:31:984     7500      
100      DUMMY60          26 AC 00 06 1D 4D A6 E4 B0 FF 00 60 00 15 06 41 00 00 00 00 00 00 2A 37                                           2018     652521727     04/29/2018 00:07:31:984     7501      
101      DUMMY60          2A 37 00 06 1D 4E A6 E4 B0 FF 00 60 00 16 06 41 00 00 00 00 00 00 D6 DB                                           2018     652521727     04/29/2018 00:07:31:984     7502      
102      DUMMY60          D6 DB 00 06 1D 4F A6 E4 B0 FF 00 60 00 17 06 41 00 00 00 00 00 00 E4 30                                           2018     652521727     04/29/2018 00:07:31:984     7503      
103      DUMMY60          E4 30 00 06 1D 50 A6 E4 B0 FF 00 60 00 18 06 41 00 00 00 00 00 00 1A EC                                           2018     652521727     04/29/2018 00:07:31:984     7504      
104      DUMMY60          1A EC 00 06 1D 51 A6 E4 B0 FF 00 60 00 19 06 41 00 00 00 00 00 00 70 C1                                           2018     652521727     04/29/2018 00:07:31:984     7505      
105      TIMEPACKET       70 C1 00 06 1D 52 A6 E4 BF FF 00 05 00 00 00 00 00 00 00 00 00 00 83 2B                                           2018     652525567     04/29/2018 00:08:31:984     7506      
106      DUMMY60          83 2B 00 06 1D 53 A6 E4 C9 BF 00 60 00 01 06 40 00 00 00 00 00 00 39 8A                                           2018     652528063     04/29/2018 00:09:10:984     7507      
107      DUMMY60          39 8A 00 06 1D 54 A6 E4 CE FF 00 60 00 02 06 43 00 00 00 00 00 00 92 F8                                           2018     652529407     04/29/2018 00:09:31:984     7508      
